data_carga,UF_PROPONENTE,COD_MUNIC_IBGE,MUNIC_PROPONENTE,NR_PROPOSTA,DIA_PROPOSTA,MODALIDADE,NR_CONVENIO,ANO_Convenio,DIA_ASSIN_CONV,SIT_CONVENIO,INSTRUMENTO_ATIVO,PROGRAMA,ACAO,VL_GLOBAL_CONV,VL_REPASSE_CONV,VL_CONTRAPARTIDA_CONV,VL_EMPENHADO_CONV,VL_DESEMBOLSADO_CONV,VL_SALDO_REMAN_TESOURO,VL_SALDO_REMAN_CONVENENTE,VL_RENDIMENTO_APLICACAO,VL_INGRESSO_CONTRAPARTIDA,VL_SALDO_CONTA,VALOR_GLOBAL_ORIGINAL_CONV,NOME_FORNECEDOR,IDENTIF_FORNECEDOR,ANO_pgto,CATEGORIA_SUGERIDA,CATEGORIA_ROTAS,Divisao,VALOR_AGREGADO,QTD_AGREGADA,soma_vlr_agregado,UNIDADE_ITEM_INVESTIMENTO_META,MAX_QUANTIDADE_M2,custoM2,MEDIANA_CUSTO_M2,M2_estimado,KM_estimado
2026-06-01 06:52:13,RO,1101807,VALE DO PARAÍSO,56898/2009,2009-08-03,CONVENIO,710634,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,207655.5,200000.0,7655.5,200000.0,200000.0,19328.47,,,7655.5,,,M. S. ARTEFATOS DE CIMENTO LTDA ME,10791039000128,2011.0,Pavimentação de Vias,,Obras,164263.86,1.0,164263.86,,,,134.04477169424123,1225.4402609203519,0.2042400434867253
2026-06-01 06:52:13,RO,1100809,CANDEIAS DO JAMARI,45486/2009,2009-07-02,CONVENIO,710643,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,2443302.9,2370000.0,73302.9,2370000.0,2370000.0,177615.86,,,73302.9,0.0,,MADECON ENGENHARIA E PARTICIPACOES LTDA EM RECUPERACAO JUDICIAL,08666201000134,2010.0,Pavimentação de Vias,,Obras,1590156.04,1.0,2169234.29,,,,134.04477169424123,11862.872530583865,1.9771454217639775
2026-06-01 06:52:13,RO,1100809,CANDEIAS DO JAMARI,45486/2009,2009-07-02,CONVENIO,710643,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,2443302.9,2370000.0,73302.9,2370000.0,2370000.0,177615.86,,,73302.9,0.0,,MADECON ENGENHARIA E PARTICIPACOES LTDA EM RECUPERACAO JUDICIAL,08666201000134,2011.0,Pavimentação de Vias,,Obras,579078.25,1.0,2169234.29,,,,134.04477169424123,4320.036079593532,0.7200060132655887
2026-06-01 06:52:13,RO,1100403,ALTO PARAÍSO,50966/2009,2009-07-16,CONVENIO,710672,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,103092.8,100000.0,3092.8,100000.0,100000.0,3253.51,,,3092.8,0.0,,OPECAR VEICULOS LTDA,05793769000128,2011.0,Aquisição de Veículos (Frota Leve),,Equipamentos,103092.8,2.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,RO,1101450,PARECIS,46384/2009,2009-07-06,CONVENIO,710678,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,102100.0,100000.0,2100.0,100000.0,100000.0,8160.84,,,2100.0,0.0,,L. F. IMPORTS LTDA.,03483599000150,2011.0,OUTROS / NAO CLASSIFICADO,,Outros,94500.0,0.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,RO,1101005,GOVERNADOR JORGE TEIXEIRA,67326/2009,2009-08-29,CONVENIO,710684,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,131936.63,100000.0,31936.63,100000.0,100000.0,7520.78,,,31936.63,0.0,,P.A.A DE LIMA COMERCIO LTDA,06695690000127,2011.0,Praças e Espaços de Lazer,,,126070.54000000001,,,,,,134.04477169424123,,
2026-06-01 06:52:13,RO,1101492,SÃO FRANCISCO DO GUAPORÉ,54029/2009,2009-07-24,CONVENIO,710691,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,143400.0,130000.0,13400.0,130000.0,130000.0,8287.04,,,13400.0,0.0,,ENZO VEICULOS LTDA,05950849000140,2010.0,Máquinas e equipamentos diversos,,Outros,47000.0,0.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,RO,1100148,NOVA BRASILÂNDIA D'OESTE,80572/2009,2009-10-10,CONVENIO,710696,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,161450.77,150000.0,11450.77,150000.0,150000.0,5233.57,,,11450.0,0.0,,A. J. ALVES & CIA LTDA,07893566000139,2011.0,Pavimentação de Vias,Economia Circular e Gestão de Resíduos,Obras,155703.72,1.0,155703.72,,,,134.04477169424123,1161.5799559505629,0.19359665932509382
2026-06-01 06:52:13,RO,1101104,ITAPUÃ DO OESTE,49504/2009,2009-07-13,CONVENIO,710712,2009,2009-12-29,Prestação de Contas Concluída,NÃO,,,309278.39,300000.0,9278.39,300000.0,300000.0,48318.18,,,8429.83,0.0,,MELO & MOURAO LTDA,09219184000150,2011.0,Equipamentos de Educação,,,178188.08000000002,,,,,,134.04477169424123,,
2026-06-01 06:52:13,RO,1101104,ITAPUÃ DO OESTE,49504/2009,2009-07-13,CONVENIO,710712,2009,2009-12-29,Prestação de Contas Concluída,NÃO,,,309278.39,300000.0,9278.39,300000.0,300000.0,48318.18,,,8429.83,0.0,,MELO & MOURAO LTDA,09219184000150,2012.0,Equipamentos de Educação,,,116470.31,,,,,,134.04477169424123,,
