data_carga,ANO_Convenio,NR_CONVENIO,SIT_CONVENIO,COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,PROGRAMA,ACAO,MAX_VL_GLOBAL_CONV,SOMA_VALOR_AGREGADO,PERC_EXECUCAO,VALOR_A_EXECUTAR
2026-06-01 06:52:13,2020,897625,Em execução,1200708,XAPURI,AC,Programa Calha Norte,1211,568772.0,544083.65,0.9565935911050474,24688.349999999977
2026-06-01 06:52:13,2020,897690,Em execução,1100122,JI-PARANÁ,RO,Programa Calha Norte,1211,536384.0,0.0,0.0,536384.0
2026-06-01 06:52:13,2020,897882,Prestação de Contas em Análise,1100056,CEREJEIRAS,RO,Programa Calha Norte,1211,511070.45,438256.52,0.8575266286673393,72813.93
2026-06-01 06:52:13,2020,898179,Prestação de Contas em Análise,1400704,UIRAMUTÃ,RR,,,5747458.0,5573918.3,0.9698058341618155,173539.7000000002
2026-06-01 06:52:13,2020,898180,Prestação de Contas em Análise,1400704,UIRAMUTÃ,RR,,,5510000.0,5343557.15,0.9697925862068966,166442.84999999963
2026-06-01 06:52:13,2020,898182,Prestação de Contas em Análise,1400704,UIRAMUTÃ,RR,,,4620000.0,4492254.18,0.9723493896103895,127745.8200000003
2026-06-01 06:52:13,2020,898240,Em execução,1101500,SERINGUEIRAS,RO,Programa Calha Norte,1211,510668.57,456614.02,0.8941494480461173,54054.54999999999
2026-06-01 06:52:13,2020,898241,Em execução,1101500,SERINGUEIRAS,RO,Programa Calha Norte,1211,681017.59,600896.11,0.882350351626013,80121.47999999998
2026-06-01 06:52:13,2020,898284,Prestação de Contas em Análise,1100023,ARIQUEMES,RO,Programa Calha Norte,1211,563662.0,457336.69999999995,0.8113669184724178,106325.30000000005
2026-06-01 06:52:13,2020,898369,Prestação de Contas em Análise,1200401,RIO BRANCO,AC,,,1386463.0,916975.54,0.6613775773316706,469487.45999999996
2026-06-01 06:52:13,2020,898384,Em execução,1300805,BORBA,AM,,,566572.0,532180.72,0.9392993653057333,34391.28000000003
2026-06-01 06:52:13,2020,898525,Prestação de Contas em Análise,1600204,CALÇOENE,AP,,,1922000.0,1647986.48,0.8574331321540062,274013.52
2026-06-01 06:52:13,2020,898534,Em execução,1600303,MACAPÁ,AP,Programa Calha Norte,1211,525998.0,0.0,0.0,525998.0
2026-06-01 06:52:13,2020,898538,Em execução,1100205,PORTO VELHO,RO,,,7416501.0,4443046.9799999995,0.5990758957627053,2973454.0200000005
2026-06-01 06:52:13,2020,898539,Em execução,1100288,ROLIM DE MOURA,RO,,,5117928.62,2790313.7399999998,0.5452037234548222,2327614.8800000004
2026-06-01 06:52:13,2020,898566,Prestação de Contas em Análise,1600279,LARANJAL DO JARI,AP,,,339946.0,323998.67000000004,0.9530886376071495,15947.329999999958
2026-06-01 06:52:13,2020,898567,Prestação de Contas em Complementação,1100288,ROLIM DE MOURA,RO,,,3849090.24,3749777.4200000004,0.9741983653778926,99312.81999999983
2026-06-01 06:52:13,2020,898568,Em execução,5106703,PONTE BRANCA,MT,,,3648526.0,2596969.4400000004,0.7117859212185963,1051556.5599999996
2026-06-01 06:52:13,2020,898569,Prestação de Contas em Análise,1100205,PORTO VELHO,RO,,,8107493.0,7807341.92,0.9629785582300225,300151.0800000001
2026-06-01 06:52:13,2020,898666,Prestação de Contas em Análise,1200401,RIO BRANCO,AC,Programa Calha Norte,1211,2958972.0,1884400.79,0.6368430623878834,1074571.21
2026-06-01 06:52:13,2020,898668,Em execução,1400100,BOA VISTA,RR,,,2396222.0,533231.32,0.22253001600018693,1862990.6800000002
2026-06-01 06:52:13,2020,898684,Prestação de Contas em Análise,1200401,RIO BRANCO,AC,,,3420266.0,3364736.09,0.9837644469757615,55529.91000000015
2026-06-01 06:52:13,2020,898700,Em execução,1600501,OIAPOQUE,AP,Programa Calha Norte,1211,384000.0,240177.52000000002,0.6254622916666667,143822.47999999998
2026-06-01 06:52:13,2020,899474,Em execução,1400100,BOA VISTA,RR,,,19329951.0,16537921.01,0.8555593860532807,2792029.99
2026-06-01 06:52:13,2020,899914,Em execução,1100205,PORTO VELHO,RO,,,8352398.0,7918833.16,0.9480909745919675,433564.83999999985
2026-06-01 06:52:13,2020,901833,Em execução,1600303,MACAPÁ,AP,,,495428.16,23068.11,0.046561967733121996,472360.05
2026-06-01 06:52:13,2020,902231,Em execução,1400100,BOA VISTA,RR,,,5835481.0,4187380.88,0.7175725325812902,1648100.12
2026-06-01 06:52:13,2020,902400,Em execução,1400100,BOA VISTA,RR,,,4887964.0,0.0,0.0,4887964.0
2026-06-01 06:52:13,2020,903399,Prestação de Contas em Análise,1303502,PAUINI,AM,Programa Calha Norte,1211,260000.0,256336.93,0.9859112692307692,3663.070000000007
2026-06-01 06:52:13,2020,903485,Em execução,1400100,BOA VISTA,RR,Programa Calha Norte,1211,28828829.0,24506953.27,0.8500849365057457,4321875.73
2026-06-01 06:52:13,2020,903630,Prestação de Contas em Análise,1713205,MIRACEMA DO TOCANTINS,TO,Programa Calha Norte,1211,545940.0,489400.0,0.8964355057332307,56540.0
